Engine_Size_ID,Engine_Size
8001,1.5L
8002,1.6L
8003,1.8L
8004,110 kW electric motor
8005,125 kW electric motor
8006,131kW and 190 kW electric motors
8007,133 and 179 kW electric motors
8008,135 and 255 kW electric motors
8009,135 kW electric motor
8010,138kW electric motor
8011,141 kW and 172 kW electric motor
8012,150 and 270 kW electric motors
8013,150 kW electric motor
8014,150 kW electric motors (X2)
8015,150kW electric motor
8016,150kW electric motors (X2)
8017,157kW electric motor
8018,160 kW electric motor
8019,"162, 162, 163, 163 kW "
8020,168 kW electric motor
8021,170 and 335 kW electric motors
8022,170kW electric motor
8023,175 and 320 kW electric motors
8024,175 and 355 kW electric motors
8025,175 kW electric motor
8026,178kW and 433kW electric motors
8027,179  kW electric motor
8028,179  kW electric motors (X2)
8029,190 and 230 kW electric motors
8030,190 and 335 kW electric motors
8031,192 kW electric motor
8032,198 kW electric motor
8033,198 kW electric motors (x2)
8034,198kW and 498kW electric motors
8035,2.0L
8036,2.4L
8037,2.5L
8038,2.5L I4
8039,2.9L
8040,209 kW electric motor
8041,216 kW electric motor
8042,230kW electric motors (X3)
8043,240 kW electric motor
8044,243 and 248 kW electric motors
8045,245 kW electric motor
8046,247 kW dual electric motors
8047,250 kW electric motor
8048,250 kW electric motors (X3)
8049,258 kW electric motors (x2)
8050,280 kW electric motor
8051,3.0L
8052,3.0L 
8053,3.3L
8054,3.3L V6
8055,3.5L
8056,3.6L
8057,3.9L
8058,335 kW electric motor
8059,370kW and 459kW electric motors
8060,4.0L
8061,5.7L
8062,74 kW and 165 kW electric motors
8063,80 and 150 kW electric motors
8064,80 kW and 150 kW electric motor
8065,91 and 200 kW electric motors
8066,98 kW and 195 kW electric motors
